Date,Bitcoin.tone,Bitcoin.vol,Ethereum.tone,Ethereum.vol
2017-01-01 00:00:00,-1.3959,0.7069,-1.4038,0.6964
2017-01-02 00:00:00,-1.3467,0.513,-1.3653,0.4951
2017-01-03 00:00:00,-0.9568,0.5906,-0.9794,0.566
2017-01-04 00:00:00,-1.2207,0.5819,-1.2235,0.5677
2017-01-05 00:00:00,-1.1501,0.6268,-1.1485,0.6087
2017-01-06 00:00:00,-1.4113,0.7451,-1.4193,0.7266
2017-01-07 00:00:00,-1.4771,0.3879,-1.4849,0.3703
2017-01-08 00:00:00,-1.6477,0.4161,-1.6914,0.4026
2017-01-09 00:00:00,-1.2206,0.5866,-1.1424,0.5599
2017-01-10 00:00:00,-1.1968,0.5897,-1.0977,0.5621
2017-01-11 00:00:00,-1.2128,0.5655,-1.1783,0.5432
2017-01-12 00:00:00,-1.0545,0.6169,-1.0282,0.5797
2017-01-13 00:00:00,-0.9104,0.622,-0.9056,0.5959
2017-01-14 00:00:00,-1.508,0.5373,-1.5269,0.5234
2017-01-15 00:00:00,-1.5675,0.4733,-1.5813,0.4564
2017-01-16 00:00:00,-1.2654,0.6283,-1.2899,0.611
2017-01-17 00:00:00,-0.7721,0.6917,-0.7673,0.6707
2017-01-18 00:00:00,-0.1725,0.7731,-0.1512,0.7538
2017-01-19 00:00:00,-0.9331,0.6116,-0.9397,0.589
2017-01-20 00:00:00,-1.5701,0.7087,-1.5866,0.6949
2017-01-21 00:00:00,-1.3528,0.351,-1.368,0.3436
2017-01-22 00:00:00,-1.4123,0.2842,-1.4528,0.2718
2017-01-23 00:00:00,-1.1895,0.5115,-1.2033,0.4946
2017-01-24 00:00:00,-1.1169,0.5479,-0.8217,0.5071
2017-01-25 00:00:00,-0.7492,0.5152,-0.7361,0.4991
2017-01-26 00:00:00,-0.6199,0.5184,-0.6398,0.5019
2017-01-27 00:00:00,-0.7739,0.5463,-0.7801,0.5269
2017-01-28 00:00:00,-1.615,0.3479,-1.6639,0.337
2017-01-29 00:00:00,-0.9747,0.306,-0.9833,0.2906
2017-01-30 00:00:00,-1.1381,0.4153,-1.121,0.3962
2017-01-31 00:00:00,-1.1983,0.5966,-1.1854,0.5812
2017-02-01 00:00:00,-1.1726,0.5798,-1.1599,0.5742
2017-02-02 00:00:00,-0.7679,0.5074,-0.756,0.4943
2017-02-03 00:00:00,-1.2982,0.593,-1.335,0.5777
2017-02-04 00:00:00,-1.2687,0.4416,-1.2621,0.4297
2017-02-05 00:00:00,-1.3523,0.3476,-1.4074,0.3357
2017-02-06 00:00:00,-1.5925,0.6164,-1.6199,0.5971
2017-02-07 00:00:00,-1.5485,0.67,-1.5707,0.6527
2017-02-08 00:00:00,-1.4049,0.5735,-1.4099,0.549
2017-02-09 00:00:00,-1.2722,0.6727,-1.2833,0.649
2017-02-10 00:00:00,-0.8714,0.6382,-0.8967,0.615
2017-02-11 00:00:00,-1.0195,0.4931,-1.0717,0.4651
2017-02-12 00:00:00,-1.2203,0.308,-1.2564,0.2959
2017-02-13 00:00:00,-0.9851,0.5145,-0.9807,0.4986
2017-02-14 00:00:00,-1.158,0.5058,-1.1268,0.4899
2017-02-15 00:00:00,-0.6884,0.4889,-0.703,0.4766
2017-02-16 00:00:00,-1.0617,0.53,-1.0742,0.5147
2017-02-17 00:00:00,-0.8388,0.4885,-0.8541,0.4777
2017-02-18 00:00:00,-1.444,0.2927,-1.4883,0.2846
2017-02-19 00:00:00,-1.8504,0.2981,-1.904,0.2879
2017-02-20 00:00:00,-1.5945,0.4059,-1.6157,0.3922
2017-02-21 00:00:00,-0.7527,0.4667,-0.7446,0.4515
2017-02-22 00:00:00,-1.1958,0.4819,-1.24,0.4656
2017-02-23 00:00:00,-0.5482,0.4696,-0.5739,0.4558
2017-02-24 00:00:00,-1.2499,0.6224,-1.269,0.6075
2017-02-25 00:00:00,-1.4753,0.3578,-1.7344,0.3257
2017-02-26 00:00:00,-0.9888,0.3115,-1.041,0.2959
2017-02-27 00:00:00,-0.9586,0.4591,-0.9617,0.4466
2017-02-28 00:00:00,-1.0286,0.4959,-0.9543,0.4865
2017-03-01 00:00:00,-0.9236,0.4756,-0.9041,0.466
2017-03-02 00:00:00,-0.9619,0.4147,-1.0056,0.4027
2017-03-03 00:00:00,-0.8678,0.4395,-0.9014,0.4188
2017-03-04 00:00:00,-2.1931,0.3061,-2.2653,0.291
2017-03-05 00:00:00,-1.4518,0.2814,-1.4679,0.2715
2017-03-06 00:00:00,-1.0559,0.4298,-1.0858,0.4104
2017-03-07 00:00:00,-1.07,0.4655,-1.1046,0.4524
2017-03-08 00:00:00,-1.3131,0.5546,-1.3336,0.5385
2017-03-09 00:00:00,-1.0201,0.4758,-1.0412,0.4637
2017-03-10 00:00:00,-1.0114,0.5725,-1.006,0.5505
2017-03-11 00:00:00,-0.5313,0.3076,-0.5278,0.2877
2017-03-12 00:00:00,-0.7779,0.2639,-0.7908,0.248
2017-03-13 00:00:00,-0.8339,0.4383,-0.9022,0.4238
2017-03-14 00:00:00,-0.8655,0.4353,-0.9,0.4142
2017-03-15 00:00:00,-1.0293,0.4779,-0.9612,0.4559
2017-03-16 00:00:00,-0.5382,0.5776,-0.4809,0.5569
2017-03-17 00:00:00,-0.9056,0.4202,-0.9098,0.4042
2017-03-18 00:00:00,-1.4493,0.3403,-1.526,0.3233
2017-03-19 00:00:00,-1.3548,0.3809,-1.3729,0.3655
2017-03-20 00:00:00,-1.0476,0.5157,-1.0671,0.4917
2017-03-21 00:00:00,-0.834,0.4876,-0.8317,0.4734
2017-03-22 00:00:00,-1.4054,0.4508,-1.2747,0.4146
2017-03-23 00:00:00,-1.1121,0.4499,-1.0484,0.4269
2017-03-24 00:00:00,-0.9501,0.4336,-0.9316,0.4183
2017-03-25 00:00:00,-1.3997,0.2712,-1.4167,0.2587
2017-03-26 00:00:00,-0.9019,0.2367,-0.9647,0.2267
2017-03-27 00:00:00,-0.7955,0.4962,-0.8073,0.4813
2017-03-28 00:00:00,-0.9104,0.5013,-0.9367,0.4862
2017-03-29 00:00:00,-1.0341,0.6352,-1.0361,0.629
2017-03-30 00:00:00,-0.7364,0.4621,-0.7524,0.451
2017-03-31 00:00:00,-1.9151,0.7123,-1.9468,0.705
2017-04-01 00:00:00,-2.0333,0.3379,-2.1006,0.33
2017-04-02 00:00:00,-1.406,0.3007,-1.4152,0.2832
2017-04-03 00:00:00,-1.4343,0.6182,-1.4373,0.6015
2017-04-04 00:00:00,-1.2663,0.4593,-1.2947,0.4454
2017-04-05 00:00:00,-1.0083,0.4588,-1.031,0.4472
2017-04-06 00:00:00,-1.4342,0.517,-1.488,0.5023
2017-04-07 00:00:00,-1.6007,0.569,-1.6203,0.5589
2017-04-08 00:00:00,-1.673,0.2861,-1.6976,0.2769
2017-04-09 00:00:00,-0.9696,0.2384,-1.0041,0.2307
2017-04-10 00:00:00,-0.9463,0.3891,-0.9206,0.3758
2017-04-11 00:00:00,-1.2069,0.3996,-1.2074,0.3851
2017-04-12 00:00:00,-1.4389,0.5368,-1.4474,0.5223
2017-04-13 00:00:00,-1.2298,0.8999,-1.25,0.8891
2017-04-14 00:00:00,-1.4683,0.6218,-1.471,0.6104
2017-04-15 00:00:00,-1.9315,0.4588,-1.9729,0.4474
2017-04-16 00:00:00,-1.7423,0.4376,-1.7955,0.4281
2017-04-17 00:00:00,-1.5349,0.6847,-1.511,0.6656
2017-04-18 00:00:00,-1.3161,0.6872,-1.2989,0.6762
2017-04-19 00:00:00,-1.239,0.6019,-1.1972,0.5853
2017-04-20 00:00:00,-2.1773,0.6777,-2.2122,0.6691
2017-04-21 00:00:00,-1.3454,0.5289,-1.3861,0.5166
2017-04-22 00:00:00,-1.7174,0.5511,-1.7322,0.5402
2017-04-23 00:00:00,-2.0403,0.612,-2.0689,0.6021
2017-04-24 00:00:00,-1.1625,0.8697,-1.0242,0.8345
2017-04-25 00:00:00,-0.8412,0.5541,-0.8211,0.5399
2017-04-26 00:00:00,-0.4395,0.5207,-0.4564,0.5044
2017-04-27 00:00:00,-1.1066,0.5468,-0.9784,0.5194
2017-04-28 00:00:00,-0.78,0.5505,-0.7792,0.5357
2017-04-29 00:00:00,-2.3212,0.8357,-2.3414,0.8249
2017-04-30 00:00:00,-1.8565,0.596,-1.8779,0.5818
2017-05-01 00:00:00,-1.0901,0.5553,-1.1147,0.5387
2017-05-02 00:00:00,-0.7886,0.5615,-0.8079,0.5433
2017-05-03 00:00:00,-0.9523,0.5912,-0.9729,0.5784
2017-05-04 00:00:00,-1.3298,0.5795,-1.3394,0.5694
2017-05-05 00:00:00,-1.1582,0.5038,-1.1495,0.4951
2017-05-06 00:00:00,-1.321,0.3199,-1.3575,0.3109
2017-05-07 00:00:00,-1.1317,0.7917,-1.1531,0.7748
2017-05-08 00:00:00,-0.4137,0.7878,-0.4224,0.7685
2017-05-09 00:00:00,-0.9748,0.5428,-0.8649,0.5005
2017-05-10 00:00:00,-0.7678,0.543,-0.7639,0.5252
2017-05-11 00:00:00,-0.5913,0.4714,-0.6139,0.4591
2017-05-12 00:00:00,-1.8283,0.6904,-1.7113,0.6307
2017-05-13 00:00:00,-3.0548,0.7312,-2.7774,0.5308
2017-05-14 00:00:00,-3.2051,0.6329,-2.1666,0.325
2017-05-15 00:00:00,-2.9963,0.8468,-1.9958,0.5444
2017-05-16 00:00:00,-2.9818,0.8188,-2.1233,0.6284
2017-05-17 00:00:00,-1.8619,0.5285,-1.5997,0.4696
2017-05-18 00:00:00,-1.4345,0.4696,-1.3308,0.4386
2017-05-19 00:00:00,-2.0553,0.5924,-1.525,0.4985
2017-05-20 00:00:00,-2.1432,0.2867,-2.0743,0.2533
2017-05-21 00:00:00,-2.1678,0.3322,-2.1877,0.3086
2017-05-22 00:00:00,-1.0657,0.5261,-1.0291,0.4968
2017-05-23 00:00:00,-1.0148,0.4808,-0.8904,0.4462
2017-05-24 00:00:00,-1.7788,0.5053,-1.8298,0.4821
2017-05-25 00:00:00,-1.4215,0.5903,-1.3766,0.5532
2017-05-26 00:00:00,-0.8902,0.4743,-0.7892,0.4366
2017-05-27 00:00:00,-1.2388,0.2394,-1.2779,0.2186
2017-05-28 00:00:00,-0.7808,0.2205,-0.8371,0.202
2017-05-29 00:00:00,-0.7132,0.3652,-0.7333,0.3349
2017-05-30 00:00:00,-1.0328,0.4897,-1.0115,0.4599
2017-05-31 00:00:00,-1.1472,0.4435,-1.0312,0.4099
2017-06-01 00:00:00,-1.2699,0.4829,-1.2612,0.462
2017-06-02 00:00:00,-1.5431,0.4313,-1.4979,0.4108
2017-06-03 00:00:00,-2.2873,0.2385,-2.4067,0.2199
2017-06-04 00:00:00,-1.5157,0.2218,-1.5833,0.2122
2017-06-05 00:00:00,-0.8727,0.41,-0.8811,0.3954
2017-06-06 00:00:00,-1.1913,0.4793,-1.2053,0.4653
2017-06-07 00:00:00,-1.0265,0.469,-1.0539,0.4512
2017-06-08 00:00:00,-0.7717,0.4952,-0.7862,0.4765
2017-06-09 00:00:00,-1.3996,0.6072,-1.438,0.5885
2017-06-10 00:00:00,-1.4558,0.2327,-1.462,0.2212
2017-06-11 00:00:00,-0.9765,0.2246,-1.0804,0.2132
2017-06-12 00:00:00,-0.908,0.4271,-0.9917,0.3968
2017-06-13 00:00:00,-0.6065,0.4047,-0.628,0.3756
2017-06-14 00:00:00,-0.6189,0.4437,-0.5888,0.4196
2017-06-15 00:00:00,-1.2877,0.5501,-1.4106,0.5125
2017-06-16 00:00:00,-0.8441,0.5194,-0.8548,0.4944
2017-06-17 00:00:00,-0.2691,0.3112,-0.2891,0.2942
2017-06-18 00:00:00,-0.9167,0.263,-1.0722,0.2316
2017-06-19 00:00:00,-0.4946,0.3809,-0.4612,0.3526
2017-06-20 00:00:00,-1.0359,0.4284,-1.0802,0.4038
2017-06-21 00:00:00,-0.8354,0.4483,-0.8972,0.4228
2017-06-22 00:00:00,-0.8145,0.435,-0.8329,0.4167
2017-06-23 00:00:00,-0.8993,0.4115,-0.7338,0.3708
2017-06-24 00:00:00,-0.9655,0.2247,-0.9572,0.2146
2017-06-25 00:00:00,-0.8519,0.1726,-0.8512,0.1624
2017-06-26 00:00:00,-0.7105,0.3484,-0.6913,0.335
2017-06-27 00:00:00,-2.1192,0.5652,-1.6293,0.4423
2017-06-28 00:00:00,-2.597,0.7596,-1.7805,0.4968
2017-06-29 00:00:00,-1.4134,0.5547,-0.9361,0.4621
2017-06-30 00:00:00,-1.5058,0.468,-1.3675,0.4385
2017-07-01 00:00:00,-0.9396,0.3398,-0.7856,0.3158
2017-07-02 00:00:00,-1.5764,0.3748,-1.5724,0.353
2017-07-03 00:00:00,-0.7743,0.4415,-0.7653,0.4239
2017-07-04 00:00:00,-0.6209,0.3979,-0.6162,0.3576
2017-07-05 00:00:00,-2.1276,0.5314,-2.0835,0.5004
2017-07-06 00:00:00,-1.882,0.5844,-1.7884,0.5745
2017-07-07 00:00:00,-0.9413,0.4771,-0.9081,0.4692
2017-07-08 00:00:00,-0.7058,0.2847,-0.7432,0.2713
2017-07-09 00:00:00,-1.0245,0.2424,-1.0371,0.2333
2017-07-10 00:00:00,-0.7561,0.4395,-0.7677,0.4191
2017-07-11 00:00:00,-1.5194,0.4058,-1.3895,0.3619
2017-07-12 00:00:00,-0.9485,0.4165,-0.972,0.3935
2017-07-13 00:00:00,-0.7577,0.4389,-0.8027,0.4219
2017-07-14 00:00:00,-0.6911,0.4206,-0.7271,0.4127
2017-07-15 00:00:00,-1.1541,0.2636,-1.0907,0.2489
2017-07-16 00:00:00,-0.8883,0.2371,-0.8527,0.224
2017-07-17 00:00:00,-0.8315,0.4477,-0.8967,0.4306
2017-07-18 00:00:00,-0.7889,0.534,-0.8074,0.5242
2017-07-19 00:00:00,-1.0482,0.4753,-1.0847,0.4627
2017-07-20 00:00:00,-1.3281,0.5263,-1.2785,0.509
2017-07-21 00:00:00,-0.7384,0.4945,-0.7098,0.4664
2017-07-22 00:00:00,-1.1606,0.2471,-1.1727,0.2337
2017-07-23 00:00:00,-0.9291,0.3095,-0.9844,0.2963
2017-07-24 00:00:00,-1.0323,0.5742,-1.0301,0.562
2017-07-25 00:00:00,-0.4172,0.4408,-0.4283,0.4153
2017-07-26 00:00:00,-0.7693,0.4909,-0.7991,0.46
2017-07-27 00:00:00,-0.691,0.5572,-0.7096,0.5182
2017-07-28 00:00:00,-1.419,0.5448,-1.2639,0.4989
2017-07-29 00:00:00,-1.7342,0.297,-1.807,0.2735
2017-07-30 00:00:00,-1.4219,0.3586,-1.4703,0.3351
2017-07-31 00:00:00,-0.5764,0.4824,-0.5837,0.4561
2017-08-01 00:00:00,-1.017,0.598,-1.0397,0.5704
2017-08-02 00:00:00,-0.8649,0.5687,-0.902,0.5371
2017-08-03 00:00:00,-0.7094,0.5772,-0.6538,0.5498
2017-08-04 00:00:00,-1.2603,0.5351,-1.0934,0.4947
2017-08-05 00:00:00,-2.3285,0.3987,-2.3198,0.3559
2017-08-06 00:00:00,-1.9416,0.3697,-1.9026,0.3459
2017-08-07 00:00:00,-1.4759,0.5233,-1.415,0.4841
2017-08-08 00:00:00,-1.9679,0.6391,-1.0335,0.4819
2017-08-09 00:00:00,-1.2666,0.5018,-1.2063,0.4654
2017-08-10 00:00:00,-0.9015,0.4617,-0.8879,0.4336
2017-08-11 00:00:00,-1.1411,0.4789,-0.9923,0.4287
2017-08-12 00:00:00,-1.2194,0.2701,-1.0272,0.2293
2017-08-13 00:00:00,-1.576,0.3237,-1.608,0.3007
2017-08-14 00:00:00,-0.8518,0.4884,-0.8213,0.4416
2017-08-15 00:00:00,-1.0997,0.4786,-1.1582,0.4417
2017-08-16 00:00:00,-0.5957,0.4964,-0.6189,0.459
2017-08-17 00:00:00,-0.8417,0.4455,-0.796,0.4006
2017-08-18 00:00:00,-1.1248,0.4344,-1.1479,0.4074
2017-08-19 00:00:00,-1.0721,0.2447,-1.054,0.2253
2017-08-20 00:00:00,-1.1303,0.2541,-1.1828,0.2287
2017-08-21 00:00:00,-0.7083,0.388,-0.6592,0.3548
2017-08-22 00:00:00,-0.8599,0.4814,-0.9008,0.4433
2017-08-23 00:00:00,-0.7285,0.4305,-0.7485,0.41
2017-08-24 00:00:00,-0.8838,1.1673,-0.8374,1.0886
2017-08-25 00:00:00,-0.9315,0.4202,-0.9097,0.3976
2017-08-26 00:00:00,-1.351,0.2287,-1.3217,0.2113
2017-08-27 00:00:00,-0.9961,0.21,-1.0335,0.1923
2017-08-28 00:00:00,-0.921,0.552,-0.892,0.5274
2017-08-29 00:00:00,-1.2627,0.4637,-1.2639,0.4442
2017-08-30 00:00:00,-0.8902,0.4186,-0.8967,0.3955
2017-08-31 00:00:00,-0.9362,0.5267,-0.9197,0.5058
2017-09-01 00:00:00,-0.598,0.4845,-0.5892,0.4469
2017-09-02 00:00:00,-1.2075,0.2518,-1.1736,0.2185
2017-09-03 00:00:00,-0.926,0.2727,-0.936,0.2429
2017-09-04 00:00:00,-0.8873,0.5072,-0.8773,0.4804
2017-09-05 00:00:00,-1.0702,0.5508,-1.0665,0.5108
2017-09-06 00:00:00,-0.8905,0.4667,-0.9453,0.4357
2017-09-07 00:00:00,-1.114,0.5329,-1.1445,0.5074
2017-09-08 00:00:00,-1.0867,0.4813,-1.0102,0.4363
2017-09-09 00:00:00,-1.4456,0.2698,-1.6269,0.2358
2017-09-10 00:00:00,-1.3408,0.251,-1.4783,0.2255
2017-09-11 00:00:00,-1.0969,0.4931,-1.1074,0.4584
2017-09-12 00:00:00,-1.7258,0.5917,-1.7668,0.5443
2017-09-13 00:00:00,-1.2424,0.542,-1.2894,0.4897
2017-09-14 00:00:00,-1.1914,0.4873,-1.2419,0.4346
2017-09-15 00:00:00,-1.1688,0.6295,-1.1231,0.5546
2017-09-16 00:00:00,-1.2632,0.2854,-1.3559,0.2446
